46.74 	19.06 
55.55 	18.20 
58.77 	18.80 
61.60 	18.57 
64.19 	18.63 
67.18 	17.92 
70.01 	16.84 
72.80 	17.53 
75.47 	16.33 
79.02 	16.74 
81.42 	16.23 
